"AltCountLineCode","CountInput","CountLineBlank","CountLineCodeDecl","CountLineComment","CountLinePreprocessor","CountPath","CountStmt","CountStmtEmpty","Cyclomatic","CyclomaticStrict","Knots","MinEssentialKnots","RatioCommentToCode","AltCountLineComment","CountLine","CountLineCode","CountLineCodeExe","CountLineInactive","CountOutput","CountSemicolon","CountStmtDecl","CountStmtExe","CyclomaticModified","Essential","MaxEssentialKnots","MaxNesting","Affected","Fold"
453,16,11,12,38,0,126,403,0,195,202,1168,1164,0.08,38,496,453,417,0,40,205,8,395,42,66,1164,3,"VULNERABLE",1
33,14,10,10,11,0,3,20,0,3,3,2,2,0.33,11,54,33,21,0,18,18,3,17,3,3,2,2,"VULNERABLE",1
8,10,1,3,0,0,2,4,0,2,2,0,0,0,0,9,8,4,0,2,3,1,3,2,1,0,1,"NEUTRAL",1
32,12,9,7,1,0,9,26,0,6,7,1,0,0.03,1,42,32,26,0,10,21,6,20,6,1,0,3,"NEUTRAL",1
160,18,37,23,38,0,2931,142,3,28,35,35,34,0.24,38,233,160,138,0,47,117,11,128,28,13,35,4,"VULNERABLE",1
21,10,4,4,2,2,4,12,0,3,3,0,0,0.12,2,26,16,12,3,7,10,3,9,3,1,0,1,"VULNERABLE",1
44,16,14,4,10,0,1,35,0,1,1,0,0,0.23,10,68,44,39,0,38,35,0,35,1,1,0,0,"VULNERABLE",1
46,7,7,5,20,0,13,41,0,9,11,18,17,0.43,20,72,46,40,0,9,32,3,38,7,6,17,2,"VULNERABLE",1
38,25,7,7,0,2,32,27,0,6,9,10,10,0,0,45,35,27,1,20,22,4,23,6,6,10,1,"VULNERABLE",1
80,22,9,16,13,0,1920,60,4,13,19,4,3,0.16,13,102,80,55,0,25,48,12,44,13,6,3,2,"VULNERABLE",1
78,8,7,14,2,0,872,66,0,15,17,13,13,0.03,2,87,78,53,0,24,54,12,54,15,8,13,4,"NEUTRAL",1
21,11,5,7,1,0,2,19,0,2,2,0,0,0.05,1,27,21,14,0,11,18,6,13,2,1,0,1,"VULNERABLE",1
69,30,11,22,12,0,48,47,0,8,15,4,4,0.17,12,91,69,53,0,34,41,11,36,8,5,4,2,"VULNERABLE",1
9,3,0,4,0,0,1,3,0,1,1,0,0,0,0,9,9,3,0,3,3,2,1,1,1,0,0,"NEUTRAL",1
121,23,31,12,14,0,42245,102,3,25,30,26,25,0.12,14,163,121,98,0,36,78,8,91,25,22,26,3,"VULNERABLE",1
63,20,19,8,11,0,4472,165,0,56,57,88,45,0.17,11,93,63,48,0,23,129,5,160,44,12,45,6,"VULNERABLE",1
13,6,1,4,0,0,3,10,0,4,4,0,0,0,0,14,13,5,0,2,8,2,8,4,1,0,3,"NEUTRAL",1
36,14,10,5,0,0,3,45,0,10,10,1,0,0,0,46,36,29,0,25,43,5,40,10,1,0,5,"NEUTRAL",1
100,22,14,10,23,0,4824,80,0,25,42,136,136,0.23,23,133,100,84,0,15,56,8,72,22,24,136,3,"VULNERABLE",1
29,14,2,3,9,0,5,19,0,6,13,6,6,0.31,9,40,29,25,0,10,14,2,17,6,5,6,1,"VULNERABLE",1
29,12,9,6,5,0,8,20,0,5,6,3,0,0.17,5,43,29,23,0,9,16,3,17,5,1,0,2,"NEUTRAL",1
48,9,11,4,1,0,24,42,1,10,12,9,9,0.02,1,59,48,35,0,13,34,3,38,10,8,9,2,"VULNERABLE",1
22,16,2,6,0,0,8,23,0,7,7,9,9,0,0,24,22,15,0,14,20,4,19,7,7,9,2,"VULNERABLE",1
17,10,1,6,3,0,1,16,0,3,3,0,0,0.18,3,20,17,12,0,12,16,2,14,3,1,0,1,"NEUTRAL",1
194,27,35,20,5,0,999999999,171,0,55,60,59,59,0.03,5,234,194,148,0,49,123,18,153,55,40,59,4,"VULNERABLE",1
73,13,7,16,3,8,21,84,1,25,27,17,17,0.05,3,83,60,45,5,18,75,11,72,25,9,17,5,"NEUTRAL",1
47,19,6,5,3,0,217,37,0,12,14,6,3,0.06,3,55,47,38,0,20,26,3,34,12,4,3,3,"VULNERABLE",1
44,14,15,9,4,0,23,47,0,14,16,10,10,0.09,4,63,44,35,0,12,36,9,38,14,12,10,2,"VULNERABLE",1
551,3,23,1,30,103,1,106,105,1,1,0,0,0.28,47,610,109,1,403,2,106,0,1,1,1,0,0,"NEUTRAL",1
17,7,6,6,0,0,2,13,0,2,2,0,0,0,0,23,17,8,0,6,12,5,8,2,1,0,1,"NEUTRAL",1
104,7,16,5,0,0,6624,84,0,32,36,68,68,0,0,120,104,92,0,10,53,4,80,32,32,68,2,"VULNERABLE",1
57,21,3,5,5,0,13,62,0,19,19,9,2,0.09,5,65,57,47,0,23,54,3,59,17,3,2,4,"VULNERABLE",1
56,20,2,10,37,4,14,38,1,8,8,10,10,0.77,37,86,48,32,4,7,31,5,32,8,8,10,2,"NEUTRAL",1
134,18,11,8,17,0,25608,116,4,36,40,115,109,0.13,17,162,134,113,0,18,80,7,105,34,32,110,4,"VULNERABLE",1
52,10,14,8,25,0,640,41,0,11,13,36,35,0.48,25,89,52,38,0,20,31,6,35,11,10,35,1,"VULNERABLE",1
10,12,1,3,0,0,2,5,0,2,3,0,0,0,0,11,10,5,0,8,4,1,4,2,1,0,1,"NEUTRAL",1
11,10,0,3,0,0,2,3,0,2,2,1,0,0,0,11,11,5,0,4,2,0,3,2,1,0,1,"VULNERABLE",1
60,14,9,11,3,0,52,108,12,23,25,17,14,0.05,3,72,60,40,0,17,93,11,85,23,10,14,6,"NEUTRAL",1
8,4,2,1,1,0,3,5,0,3,3,2,2,0.12,1,10,8,5,0,2,3,0,5,3,3,2,1,"NEUTRAL",1
32,6,9,7,12,0,6,35,7,4,4,1,0,0.38,12,53,32,19,0,9,32,6,22,4,1,0,1,"NEUTRAL",1
26,18,1,2,0,0,16,27,0,12,12,4,2,0,0,27,26,20,0,7,22,1,26,12,3,3,3,"NEUTRAL",1
41,12,3,15,0,0,9,29,0,7,7,4,4,0,0,44,41,29,0,1,22,10,19,6,5,4,2,"VULNERABLE",1
33,6,6,6,2,0,11,19,0,6,6,3,3,0.06,2,41,33,22,0,10,14,2,17,6,4,3,3,"NEUTRAL",1
18,10,3,4,0,0,6,11,0,4,4,1,0,0,0,21,18,12,0,9,8,2,9,4,1,0,2,"NEUTRAL",1
191,16,23,21,0,0,61,151,0,62,67,433,431,0,0,214,191,141,0,20,88,18,133,43,52,431,2,"NEUTRAL",1
711,36,40,35,171,0,264757248,981,72,359,379,5320,5238,0.24,171,790,711,625,0,81,671,62,847,182,177,5242,6,"VULNERABLE",1
79,16,6,12,5,0,49,83,0,18,20,12,11,0.06,5,89,79,63,0,22,73,10,73,18,8,11,5,"NEUTRAL",1
85,14,1,4,3,8,74,29,0,11,14,6,3,0.05,3,88,56,43,21,8,19,2,27,11,4,3,3,"VULNERABLE",1
46,10,16,7,10,0,133,36,0,10,10,7,6,0.22,10,72,46,34,0,10,27,6,30,10,6,7,2,"VULNERABLE",1
15,5,5,4,1,0,4,33,0,11,11,0,0,0.07,1,21,15,9,0,10,31,4,29,11,1,0,5,"NEUTRAL",1
414,25,10,30,12,18,172,221,0,75,75,249,247,0.05,24,447,261,218,149,27,147,27,194,63,66,249,7,"VULNERABLE",1
130,4,0,4,79,0,6400,121,0,28,40,8,0,0.61,79,131,130,121,0,1,93,2,119,15,1,0,2,"NEUTRAL",1
147,27,35,19,24,3,999999999,135,0,37,55,42,42,0.17,25,205,141,116,4,31,99,12,123,37,25,42,3,"VULNERABLE",1
40,14,10,7,8,0,256,42,0,13,13,7,6,0.2,8,58,40,31,0,7,34,6,36,13,5,6,2,"NEUTRAL",1
60,6,15,9,13,0,33,46,0,7,7,9,8,0.22,13,88,60,47,0,31,40,4,42,7,6,8,1,"NEUTRAL",1
88,35,17,27,12,0,192,67,0,12,17,5,5,0.14,12,116,88,69,0,45,59,14,53,12,6,5,2,"VULNERABLE",1
13,21,3,6,0,0,3,6,0,3,3,2,2,0,0,16,13,6,0,3,4,1,5,3,3,2,1,"NEUTRAL",1
19,6,2,3,0,0,7,18,0,5,5,3,3,0,0,21,19,14,0,9,14,2,16,5,4,3,1,"NEUTRAL",1
111,17,19,8,1,0,2620,90,1,28,31,38,38,0.01,1,131,111,93,0,30,60,5,84,24,24,38,3,"NEUTRAL",1
55,14,0,13,7,0,8,39,0,9,9,35,35,0.13,7,55,55,48,0,5,31,1,38,3,8,35,2,"NEUTRAL",1
9,6,2,3,4,0,2,4,0,2,2,1,0,0.44,4,15,9,4,0,2,3,0,4,2,1,0,1,"VULNERABLE",1
